date,pct_day_records,is_valid_day_analysis,et_base_out_mm_d,temp_out_mean,rh_out_mean,rad_out_mean,vpd_out_mean,flag_et_jump_high,flag_et_zero,flag_vpd_high_z,flag_temp_high_z
2025-01-11,98.95833333333334,True,1.96,14.90280701754386,69.89473684210526,118.82736842105264,0.582140350877193,False,False,False,False
2025-01-12,98.95833333333334,True,2.26,15.807017543859647,72.53684210526316,128.4434385964912,0.5338245614035088,False,False,False,False
2025-02-10,13.541666666666666,False,2.16,13.366666666666664,77.05128205128206,0.0,0.3525641025641026,False,False,False,False
2025-02-11,99.30555555555556,True,2.19,15.624125874125872,67.64335664335664,120.66003496503497,0.6160489510489511,False,False,False,False
2025-02-12,80.90277777777779,True,1.83,15.206437768240344,75.05150214592274,107.47738197424891,0.4763519313304721,False,False,False,False
2025-03-10,97.91666666666666,True,1.89,14.76241134751773,70.60283687943263,106.75574468085108,0.5321631205673759,False,False,False,False
2025-03-11,98.26388888888889,True,1.81,15.268197879858656,75.96466431095406,98.14197879858658,0.4629328621908127,False,False,False,False
2025-03-12,98.95833333333334,True,2.43,15.76736842105263,72.71578947368421,143.16515789473684,0.5365263157894736,False,False,False,False
2025-04-10,97.91666666666666,True,2.21,15.15,67.8936170212766,141.97556737588653,0.6239007092198582,False,False,False,False
2025-04-11,98.26388888888889,True,2.1,15.00106007067138,75.39929328621908,127.4813074204947,0.4724734982332155,False,False,False,False
2025-04-12,98.61111111111111,True,2.06,15.026760563380282,75.0669014084507,121.94017605633805,0.4690140845070422,False,False,False,False
2025-05-10,99.30555555555556,True,2.0,15.004895104895104,67.56293706293707,114.26916083916085,0.5896853146853147,False,False,False,False
2025-05-11,96.18055555555556,True,1.84,14.552707581227436,75.50180505415162,114.11898916967507,0.4726353790613718,False,False,False,False
2025-05-12,98.95833333333334,True,1.36,13.836491228070177,83.34035087719299,61.99582456140352,0.2917894736842105,False,False,False,False
2025-06-10,98.95833333333334,True,1.74,14.196140350877194,74.43508771929825,100.99161403508772,0.4776842105263157,False,False,False,False
2025-06-11,97.2222222222222,True,1.42,13.890357142857145,78.06071428571428,80.31049999999999,0.3915357142857142,False,False,False,False
2025-06-12,98.95833333333334,True,1.73,14.02842105263158,79.48771929824561,101.63733333333332,0.3828421052631579,False,False,False,False
2025-07-10,98.61111111111111,True,1.91,14.427464788732394,75.48239436619718,114.56792253521128,0.4558450704225352,False,False,False,False
2025-07-11,98.95833333333334,True,2.31,14.623508771929824,77.59298245614035,146.8943859649123,0.4629824561403508,False,False,False,False
2025-07-12,98.95833333333334,True,2.27,15.032280701754384,73.40350877192982,137.00470175438596,0.508421052631579,False,False,False,False
2025-07-30,15.27777777777778,False,2.42,17.452272727272728,54.11363636363637,353.03818181818184,0.9288636363636364,False,False,True,True
2025-07-31,28.47222222222222,False,0.0,15.168292682926827,73.01219512195122,5.125121951219512,0.498170731707317,False,True,False,False
2025-08-01,82.98611111111111,True,0.92,17.22845188284519,69.31380753138075,36.50255230125524,0.7417573221757322,False,False,False,False
2025-08-04,62.84722222222222,False,0.0,17.024309392265195,60.29834254143646,41.5414364640884,0.913756906077348,False,True,True,False
2025-08-05,96.18055555555556,True,0.0,14.444404332129965,64.79783393501805,26.791949458483757,0.798014440433213,False,True,False,False
2025-08-06,96.18055555555556,True,2.1,14.813718411552346,70.08664259927798,134.92880866425992,0.5769675090252707,False,False,False,False
2025-08-07,82.29166666666666,True,1.2,13.40928270042194,83.12658227848101,59.8901687763713,0.2687763713080169,False,False,False,False
2025-08-08,93.75,True,1.53,13.687407407407408,83.99259259259259,93.57062962962962,0.2701111111111111,False,False,False,False
2025-08-09,97.2222222222222,True,1.67,13.94,79.3,99.34532142857142,0.3659285714285714,False,False,False,False
2025-08-10,147.22222222222223,True,2.4,14.818396226415096,70.90094339622641,138.64075471698112,0.545,False,False,False,False
2025-08-11,137.84722222222223,True,2.1,15.19874055415617,72.01259445843829,137.8449370277078,0.548463476070529,False,False,False,False
2025-08-12,146.18055555555557,True,2.29,15.244655581947743,69.67220902612827,163.96731591448932,0.5824703087885986,False,False,False,False
2025-08-13,96.875,True,1.63,13.49032258064516,70.26523297491039,86.13397849462366,0.4825448028673835,False,False,False,False
2025-08-14,95.83333333333334,True,2.26,15.592028985507245,64.01811594202898,132.16105072463768,0.6708695652173913,False,False,False,False
2025-08-15,95.48611111111111,True,2.59,15.078181818181818,69.70545454545454,170.5926909090909,0.5524727272727273,False,False,False,False
2025-08-16,97.2222222222222,True,1.78,14.114642857142856,71.51071428571429,87.96242857142857,0.4788571428571429,False,False,False,False
2025-08-17,96.875,True,1.77,15.012544802867383,71.91039426523298,101.97820788530466,0.5096415770609319,False,False,False,False
2025-08-18,84.72222222222221,True,2.3,15.559016393442624,67.6188524590164,165.737131147541,0.6268032786885246,False,False,False,False
2025-08-19,95.83333333333334,True,2.01,15.260144927536231,69.64492753623189,119.6173188405797,0.5786594202898551,False,False,False,False
2025-08-20,92.01388888888889,True,2.42,15.269056603773585,68.64528301886793,171.21939622641509,0.6358867924528302,False,False,False,False
2025-08-21,91.31944444444444,True,1.95,15.49125475285171,64.95057034220532,116.18859315589351,0.6613307984790875,False,False,False,False
2025-08-22,95.48611111111111,True,2.4,14.942545454545456,71.84363636363636,155.8804,0.5387636363636363,False,False,False,False
2025-08-23,97.91666666666666,True,2.06,15.49255319148936,67.44326241134752,118.39578014184396,0.6147517730496455,False,False,False,False
2025-08-24,95.83333333333334,True,2.6,15.080072463768117,65.28985507246377,181.1159420289855,0.6671739130434783,False,False,False,False
2025-08-25,96.18055555555556,True,1.96,14.408664259927797,69.13357400722022,118.86010830324908,0.5303610108303249,False,False,False,False
2025-08-26,96.18055555555556,True,1.79,14.300361010830324,69.42238267148015,96.83696750902529,0.5157400722021661,False,False,False,False
2025-08-27,97.2222222222222,True,2.09,14.30107142857143,71.21428571428571,128.55985714285714,0.4870714285714285,False,False,False,False
2025-08-28,95.13888888888889,True,2.08,14.402189781021898,66.2992700729927,114.59883211678832,0.5611678832116788,False,False,False,False
2025-08-29,89.93055555555556,True,2.04,14.614285714285714,64.23552123552123,129.133166023166,0.6387258687258688,False,False,False,False
2025-08-30,90.625,True,2.9,15.763601532567051,67.46743295019157,223.04402298850573,0.6654022988505747,True,False,False,False
2025-08-31,96.18055555555556,True,2.36,15.444765342960288,70.17328519855596,158.3767870036101,0.568014440433213,False,False,False,False
2025-09-01,96.875,True,1.65,14.244086021505376,71.49820788530467,94.46534050179211,0.4926523297491039,False,False,False,False
2025-09-02,97.56944444444444,True,2.36,14.927402135231318,69.65124555160142,158.39099644128115,0.5555160142348754,False,False,False,False
2025-09-03,96.5277777777778,True,2.24,14.800359712230216,69.39568345323741,151.38255395683453,0.5707553956834532,False,False,False,False
2025-09-04,95.13888888888889,True,2.14,14.447080291970805,70.98540145985402,145.50087591240876,0.5104014598540145,False,False,False,False
2025-09-05,84.02777777777779,True,2.16,15.12685950413223,71.4297520661157,159.01252066115703,0.5216942148760331,False,False,False,False
2025-09-06,39.58333333333333,False,0.85,12.917543859649122,76.93859649122807,56.28578947368421,0.3608771929824561,False,False,False,False
2025-09-07,71.18055555555556,False,2.17,15.30439024390244,72.92682926829268,164.28478048780485,0.5108780487804878,False,False,False,False
2025-09-08,97.56944444444444,True,2.08,15.053736654804272,67.99644128113879,121.30950177935944,0.5825978647686832,False,False,False,False
2025-09-09,96.5277777777778,True,1.85,14.938489208633092,68.22302158273381,101.87158273381294,0.5789208633093526,False,False,False,False
2025-09-10,149.65277777777777,True,1.91,15.239675174013922,68.46403712296984,112.21155452436194,0.5871461716937355,False,False,False,False
2025-09-11,159.02777777777777,True,2.89,15.96943231441048,66.14847161572052,154.6186244541485,0.6481441048034935,False,False,False,False
2025-09-12,139.93055555555557,True,2.24,15.55359801488834,69.62531017369727,152.75977667493797,0.5906699751861042,False,False,False,False
2025-09-13,74.65277777777779,False,2.58,15.966046511627908,58.19069767441861,186.0460465116279,0.7980465116279071,False,False,False,False
2025-09-14,84.375,True,1.81,13.863374485596708,68.0246913580247,123.3132098765432,0.5531275720164609,False,False,False,False
2025-09-15,80.90277777777779,True,2.27,15.31587982832618,69.17596566523605,173.09836909871242,0.567167381974249,False,False,False,False
2025-09-16,53.125,False,1.28,14.47124183006536,67.05882352941177,90.71973856209152,0.6052287581699346,False,False,False,False
2025-09-17,76.73611111111111,False,1.77,14.648868778280544,69.62443438914028,119.17601809954752,0.5593665158371041,False,False,False,False
2025-09-23,52.77777777777778,False,2.27,16.451315789473682,63.05263157894737,127.62302631578947,0.7088815789473685,False,False,False,False
2025-09-24,97.91666666666666,True,2.54,15.670212765957446,64.33687943262412,158.75375886524822,0.6637234042553191,False,False,False,False
2025-09-25,95.13888888888889,True,2.98,15.819708029197082,59.72627737226277,210.29890510948903,0.7778832116788321,True,False,False,False
2025-09-26,97.91666666666666,True,2.31,15.079787234042554,63.840425531914896,139.9355319148936,0.6831560283687943,False,False,False,False
2025-09-27,98.95833333333334,True,2.1,15.94140350877193,66.6842105263158,114.93484210526316,0.6441052631578947,False,False,False,False
2025-09-28,98.95833333333334,True,2.16,15.43473684210526,66.43859649122807,127.69670175438596,0.6449473684210526,False,False,False,False
2025-09-29,98.95833333333334,True,1.75,15.87859649122807,66.17543859649123,76.04385964912281,0.624,False,False,False,False
2025-09-30,98.95833333333334,True,1.53,13.91719298245614,79.46666666666667,84.11266666666667,0.3476842105263158,False,False,False,False
2025-10-01,97.56944444444444,True,1.77,14.967615658362988,70.95373665480427,98.78505338078293,0.5300355871886121,False,False,False,False
2025-10-02,85.41666666666666,True,2.17,16.01991869918699,64.49186991869918,153.97060975609756,0.7202439024390244,False,False,False,False
2025-10-10,98.61111111111111,True,1.82,15.316549295774646,71.85211267605634,91.9061971830986,0.5211267605633803,False,False,False,False
2025-10-11,97.91666666666666,True,2.13,15.909929078014184,65.62411347517731,114.79794326241137,0.6445744680851064,False,False,False,False
2025-10-12,95.83333333333334,True,1.71,14.83804347826087,70.64492753623189,95.43101449275362,0.5357246376811595,False,False,False,False
2025-10-13,97.91666666666666,True,2.16,14.187588652482267,76.95035460992908,129.58787234042552,0.4173404255319148,False,False,False,False
2025-10-14,98.26388888888889,True,1.52,13.585159010600709,73.28621908127208,75.01985865724382,0.453851590106007,False,False,False,False
2025-10-15,97.91666666666666,True,2.31,14.4209219858156,74.90425531914893,154.71854609929076,0.4832624113475177,False,False,False,False
2025-10-16,98.61111111111111,True,2.11,14.821830985915492,76.6443661971831,130.30570422535212,0.4355281690140845,False,False,False,False
2025-10-17,98.61111111111111,True,1.58,14.60387323943662,77.56338028169014,83.26809859154929,0.3990140845070422,False,False,False,False
2025-10-18,98.61111111111111,True,1.83,14.415492957746478,75.08098591549296,110.4644014084507,0.455669014084507,False,False,False,False
2025-10-19,98.26388888888889,True,1.92,14.335335689045936,69.92579505300354,117.85459363957597,0.5501766784452297,False,False,False,False
2025-10-20,98.26388888888889,True,1.66,14.881272084805651,71.24734982332156,89.20303886925795,0.5255477031802119,False,False,False,False
2025-10-21,98.26388888888889,True,1.63,14.619787985865724,76.53710247349824,88.45522968197879,0.4388339222614841,False,False,False,False
2025-10-22,98.95833333333334,True,1.79,14.546315789473685,80.0701754385965,94.51449122807018,0.3694035087719298,False,False,False,False
2025-10-23,98.26388888888889,True,1.78,13.7226148409894,82.93639575971731,110.47056537102476,0.3253003533568904,False,False,False,False
2025-10-24,98.95833333333334,True,2.52,15.759649122807016,74.83859649122807,171.3718947368421,0.5294035087719298,False,False,False,False
2025-10-25,97.2222222222222,True,1.4,14.834285714285716,78.15714285714286,65.73314285714285,0.3959285714285714,False,False,False,False
2025-10-26,92.70833333333334,True,1.74,16.319101123595505,73.90636704119851,97.53730337078652,0.5348314606741573,False,False,False,False
2025-10-30,52.43055555555556,False,2.18,16.848344370860925,65.90728476821192,116.11099337748344,0.6956291390728477,False,False,False,False
2025-10-31,99.6527777777778,True,1.47,14.498606271777003,73.36236933797909,68.93341463414635,0.4685365853658536,False,False,False,False
2025-11-10,98.61111111111111,True,1.65,14.262676056338028,82.27112676056338,92.14595070422536,0.3108450704225352,False,False,False,False
2025-11-11,99.30555555555556,True,2.0,14.791258741258742,74.15384615384616,117.86671328671328,0.4903846153846153,False,False,False,False
2025-11-12,97.56944444444444,True,1.91,15.2644128113879,69.83629893238434,102.99124555160142,0.5554804270462633,False,False,False,False
2025-11-13,93.4027777777778,True,1.58,15.188847583643124,78.70260223048327,86.29364312267658,0.3857620817843866,False,False,False,False
2025-11-14,97.91666666666666,True,1.44,15.01099290780142,79.2127659574468,70.75460992907801,0.3870567375886525,False,False,False,False
2025-11-15,97.56944444444444,True,1.23,14.295373665480428,83.91103202846975,56.65861209964413,0.2755516014234875,False,False,False,False
2025-11-16,97.91666666666666,True,2.2,15.05354609929078,78.66666666666667,142.5886524822695,0.4065602836879433,False,False,False,False
2025-11-17,98.61111111111111,True,2.09,15.825704225352112,76.08802816901408,124.56246478873238,0.4801760563380282,False,False,False,False
2025-11-18,87.5,True,2.01,15.14563492063492,77.42857142857143,127.66896825396825,0.4721428571428571,False,False,False,False
2025-11-19,95.83333333333334,True,1.67,15.011231884057972,72.89855072463769,89.61166666666666,0.5192753623188405,False,False,False,False
2025-11-20,93.05555555555556,True,1.59,13.460074626865673,79.55223880597015,84.91914179104477,0.3654104477611941,False,False,False,False
2025-11-21,96.875,True,1.63,13.008960573476704,85.93548387096774,98.67283154121864,0.265663082437276,False,False,False,False
2025-11-22,98.26388888888889,True,2.33,15.803886925795052,75.09893992932862,146.70424028268553,0.5274911660777385,False,False,False,False
2025-11-23,98.26388888888889,True,2.25,15.894699646643108,74.71378091872792,133.95296819787987,0.517243816254417,False,False,False,False
2025-11-24,96.875,True,1.61,15.413620071684589,73.59139784946237,74.908458781362,0.4887813620071685,False,False,False,False
2025-11-25,96.5277777777778,True,2.1,15.99568345323741,71.44244604316546,124.84158273381294,0.5559352517985612,False,False,False,False
2025-11-26,98.26388888888889,True,2.03,15.871024734982331,67.32155477031802,101.89095406360424,0.6136042402826856,False,False,False,False
2025-11-27,98.95833333333334,True,2.32,16.223859649122808,66.08070175438597,127.6982807017544,0.6686666666666666,False,False,False,False
2025-11-28,98.26388888888889,True,1.94,14.96643109540636,69.64310954063605,108.33448763250884,0.5391166077738516,False,False,False,False
2025-11-29,98.26388888888889,True,2.04,14.689752650176676,75.90812720848056,117.90975265017669,0.4513427561837456,False,False,False,False
2025-11-30,98.61111111111111,True,2.34,15.058802816901409,74.94718309859155,141.4900352112676,0.4815492957746478,False,False,False,False
2025-12-10,97.91666666666666,True,1.81,14.452127659574469,80.18794326241135,110.45003546099292,0.3532978723404255,False,False,False,False
2025-12-11,98.61111111111111,True,2.06,15.351408450704223,77.70774647887323,117.74697183098591,0.4533802816901408,False,False,False,False
2025-12-12,98.61111111111111,True,2.13,15.393309859154929,66.36971830985915,117.5436971830986,0.6290845070422535,False,False,False,False
2025-12-13,98.61111111111111,True,2.06,14.373239436619718,69.73591549295774,124.78045774647887,0.5775352112676057,False,False,False,False
2025-12-14,98.95833333333334,True,2.17,14.282456140350876,74.43859649122807,137.9297894736842,0.5045263157894737,False,False,False,False
2025-12-15,97.91666666666666,True,2.19,14.664539007092197,75.42198581560284,140.50620567375887,0.4734042553191489,False,False,False,False
2025-12-16,96.875,True,2.21,15.621863799283156,74.77060931899642,128.1384946236559,0.4885304659498208,False,False,False,False
2025-12-17,97.56944444444444,True,2.07,14.823843416370106,80.54804270462634,129.1570106761566,0.3835943060498221,False,False,False,False
2025-12-18,98.26388888888889,True,1.8,14.882332155477032,81.97879858657244,102.1905300353357,0.3468551236749116,False,False,False,False
2025-12-19,97.2222222222222,True,2.28,15.621071428571428,77.31428571428572,140.72185714285715,0.4649285714285714,False,False,False,False
2025-12-20,97.2222222222222,True,1.59,15.477857142857143,73.00357142857143,77.4992857142857,0.5135,False,False,False,False
2025-12-21,76.73611111111111,False,1.1,14.023076923076925,80.04524886877829,21.78733031674208,0.3380542986425339,False,False,False,False
2025-12-22,98.95833333333334,True,1.79,15.437894736842106,77.12982456140351,92.26326315789473,0.4411228070175438,False,False,False,False
2025-12-23,97.91666666666666,True,2.12,15.738652482269504,76.52127659574468,125.02702127659576,0.4671985815602837,False,False,False,False
2025-12-24,97.91666666666666,True,2.4,16.335106382978722,73.29078014184397,142.51294326241134,0.5330141843971631,False,False,False,False
2025-12-25,97.91666666666666,True,2.28,15.38936170212766,73.51773049645391,135.85712765957447,0.505531914893617,False,False,False,False
2025-12-26,98.26388888888889,True,2.56,14.920141342756182,72.7844522968198,166.97643109540635,0.5376678445229682,False,False,False,False
2025-12-27,97.56944444444444,True,2.16,15.18576512455516,66.93594306049822,134.35839857651246,0.636797153024911,False,False,False,False
2025-12-28,98.26388888888889,True,2.83,14.440282685512368,65.3286219081272,193.4806007067138,0.6979151943462897,False,False,False,False
2025-12-29,97.91666666666666,True,1.83,14.9822695035461,68.822695035461,105.2386524822695,0.6075886524822696,False,False,False,False
2025-12-30,97.56944444444444,True,1.79,15.036654804270464,70.55160142348754,98.6018149466192,0.5317437722419929,False,False,False,False
2025-12-31,98.26388888888889,True,1.55,15.563604240282686,67.57597173144876,67.85872791519435,0.6045583038869258,False,False,False,False
2026-01-01,97.91666666666666,True,2.44,15.454609929078014,69.98226950354609,154.82936170212764,0.5952127659574468,False,False,False,False
2026-01-13,90.625,True,1.44,15.119923371647513,76.27586206896552,70.42256704980844,0.4382758620689655,False,False,False,False
2026-02-01,98.26388888888889,True,1.48,14.434628975265015,73.73498233215548,70.55074204946996,0.4785865724381625,False,False,False,False
2026-03-01,97.56944444444444,True,1.88,14.54982206405694,76.43416370106762,101.66106761565835,0.4343416370106761,False,False,False,False
2026-04-01,97.56944444444444,True,1.46,15.029181494661922,74.69039145907473,72.45505338078291,0.4617081850533808,False,False,False,False
2026-05-01,97.56944444444444,True,1.78,14.42846975088968,79.2170818505338,98.7720640569395,0.3822419928825623,False,False,False,False
2026-06-01,97.91666666666666,True,1.4,13.64645390070922,85.62411347517731,65.75936170212766,0.2514539007092198,False,False,False,False
2026-07-01,97.2222222222222,True,1.67,14.09142857142857,83.01785714285714,96.58614285714286,0.3183214285714285,False,False,False,False
2026-08-01,96.5277777777778,True,1.8,14.900359712230216,73.04676258992805,88.15902877697842,0.4941007194244605,False,False,False,False
2026-09-01,98.26388888888889,True,1.81,15.041696113074206,75.46643109540636,97.57904593639576,0.4672438162544169,False,False,False,False
2026-10-01,97.91666666666666,True,1.98,14.711347517730498,76.51418439716312,115.5695390070922,0.4323404255319149,False,False,False,False
2026-11-01,97.56944444444444,True,1.9,15.181138790035586,74.5693950177936,104.06772241992884,0.4799288256227758,False,False,False,False
2026-12-01,97.56944444444444,True,1.37,14.50747330960854,75.99644128113879,61.72259786476868,0.423202846975089,False,False,False,False
