date,n_records,pct_day_records,et_in_daily,et_out_daily,et_in_daily_last,et_out_daily_last,is_valid_day
2025-01-11,285,98.95833333333334,6.6,1.96,6.6,1.95,True
2025-01-12,285,98.95833333333334,6.44,2.26,6.44,2.22,True
2025-02-10,39,13.541666666666666,6.61,2.16,6.61,2.11,False
2025-02-11,286,99.30555555555556,6.55,2.19,6.55,2.12,True
2025-02-12,233,80.90277777777779,5.81,1.83,5.81,1.77,True
2025-03-10,282,97.91666666666666,5.81,1.89,5.81,1.84,True
2025-03-11,283,98.26388888888889,6.58,1.81,6.58,1.75,True
2025-03-12,285,98.95833333333334,6.14,2.43,6.14,2.35,True
2025-04-10,282,97.91666666666666,6.75,2.21,6.75,2.19,True
2025-04-11,283,98.26388888888889,7.16,2.1,7.16,2.01,True
2025-04-12,284,98.61111111111111,6.19,2.06,6.19,1.99,True
2025-05-10,286,99.30555555555556,6.17,2.0,6.17,1.9,True
2025-05-11,277,96.18055555555556,6.05,1.84,6.05,1.79,True
2025-05-12,285,98.95833333333334,5.92,1.36,5.92,1.26,True
2025-06-10,285,98.95833333333334,6.25,1.74,6.25,1.71,True
2025-06-11,280,97.22222222222221,5.68,1.42,5.68,1.41,True
2025-06-12,285,98.95833333333334,5.99,1.73,5.99,1.69,True
2025-07-10,284,98.61111111111111,6.4,1.91,6.4,1.84,True
2025-07-11,285,98.95833333333334,7.8,2.31,7.8,2.23,True
2025-07-12,285,98.95833333333334,6.22,2.27,6.22,2.19,True
2025-07-30,44,15.277777777777779,5.77,2.42,5.77,1.98,False
2025-07-31,82,28.47222222222222,3.79,0.0,3.79,0.0,False
2025-08-01,239,82.98611111111111,5.3,0.92,5.3,0.92,True
2025-08-04,181,62.84722222222222,5.38,0.0,5.38,0.0,False
2025-08-05,277,96.18055555555556,5.66,0.0,5.66,0.0,True
2025-08-06,277,96.18055555555556,6.35,2.1,6.35,2.06,True
2025-08-07,237,82.29166666666666,3.54,1.2,3.54,1.14,True
2025-08-08,270,93.75,4.68,1.53,4.68,1.51,True
2025-08-09,280,97.22222222222221,5.18,1.67,5.18,1.65,True
2025-08-10,424,147.22222222222223,6.1,2.4,6.1,2.37,True
2025-08-11,397,137.84722222222223,7.01,2.1,5.83,1.7,True
2025-08-12,421,146.18055555555557,6.86,2.29,5.93,2.24,True
2025-08-13,279,96.875,4.55,1.63,4.55,1.56,True
2025-08-14,276,95.83333333333334,6.16,2.26,6.16,2.2,True
2025-08-15,275,95.48611111111111,5.62,2.59,5.62,2.51,True
2025-08-16,280,97.22222222222221,5.26,1.78,5.26,1.68,True
2025-08-17,279,96.875,5.78,1.77,5.78,1.74,True
2025-08-18,244,84.72222222222221,5.89,2.3,5.89,2.25,True
2025-08-19,276,95.83333333333334,6.54,2.01,6.54,1.95,True
2025-08-20,265,92.01388888888889,7.06,2.42,7.06,2.41,True
2025-08-21,263,91.31944444444444,5.7,1.95,5.7,1.9,True
2025-08-22,275,95.48611111111111,5.93,2.4,5.93,2.3,True
2025-08-23,282,97.91666666666666,5.79,2.06,5.79,2.0,True
2025-08-24,276,95.83333333333334,6.79,2.6,6.79,2.55,True
2025-08-25,277,96.18055555555556,5.19,1.96,5.19,1.92,True
2025-08-26,277,96.18055555555556,5.56,1.79,5.56,1.74,True
2025-08-27,280,97.22222222222221,5.38,2.09,5.38,2.07,True
2025-08-28,274,95.13888888888889,4.89,2.08,4.89,2.0,True
2025-08-29,259,89.93055555555556,6.42,2.04,6.42,1.99,True
2025-08-30,261,90.625,7.13,2.9,7.13,2.82,True
2025-08-31,277,96.18055555555556,5.98,2.36,5.98,2.32,True
2025-09-01,279,96.875,5.25,1.65,5.25,1.62,True
2025-09-02,281,97.56944444444444,6.28,2.36,6.28,2.31,True
2025-09-03,278,96.52777777777779,6.4,2.24,6.4,2.22,True
2025-09-04,274,95.13888888888889,5.91,2.14,5.91,2.09,True
2025-09-05,242,84.02777777777779,5.84,2.16,5.84,2.14,True
2025-09-06,114,39.58333333333333,4.48,0.85,4.48,0.85,False
2025-09-07,205,71.18055555555556,5.97,2.17,5.97,1.99,False
2025-09-08,281,97.56944444444444,6.15,2.08,6.15,2.02,True
2025-09-09,278,96.52777777777779,5.79,1.85,5.79,1.81,True
2025-09-10,431,149.65277777777777,7.06,1.91,7.06,1.87,True
2025-09-11,458,159.02777777777777,6.85,2.89,6.85,2.83,True
2025-09-12,403,139.93055555555557,6.64,2.24,6.28,1.7,True
2025-09-13,215,74.65277777777779,6.31,2.58,6.31,2.38,False
2025-09-14,243,84.375,5.36,1.81,5.36,1.78,True
2025-09-15,233,80.90277777777779,5.85,2.27,5.85,2.22,True
2025-09-16,153,53.125,6.12,1.28,6.12,1.25,False
2025-09-17,221,76.73611111111111,6.0,1.77,6.0,1.72,False
2025-09-23,152,52.77777777777778,6.19,2.27,6.19,1.84,False
2025-09-24,282,97.91666666666666,6.06,2.54,6.06,2.49,True
2025-09-25,274,95.13888888888889,6.85,2.98,6.85,2.87,True
2025-09-26,282,97.91666666666666,7.36,2.31,7.36,2.29,True
2025-09-27,285,98.95833333333334,6.74,2.1,6.74,2.0,True
2025-09-28,285,98.95833333333334,6.95,2.16,6.95,2.11,True
2025-09-29,285,98.95833333333334,5.84,1.75,5.84,1.67,True
2025-09-30,285,98.95833333333334,5.43,1.53,5.43,1.51,True
2025-10-01,281,97.56944444444444,5.95,1.77,5.95,1.74,True
2025-10-02,246,85.41666666666666,6.61,2.17,6.61,2.15,True
2025-10-10,284,98.61111111111111,6.01,1.82,6.01,1.75,True
2025-10-11,282,97.91666666666666,5.76,2.13,5.76,2.0,True
2025-10-12,276,95.83333333333334,5.14,1.71,5.14,1.68,True
2025-10-13,282,97.91666666666666,5.95,2.16,5.95,2.03,True
2025-10-14,283,98.26388888888889,5.13,1.52,5.13,1.45,True
2025-10-15,282,97.91666666666666,7.06,2.31,7.06,2.27,True
2025-10-16,284,98.61111111111111,6.66,2.11,6.66,2.04,True
2025-10-17,284,98.61111111111111,6.33,1.58,6.33,1.54,True
2025-10-18,284,98.61111111111111,5.97,1.83,5.97,1.78,True
2025-10-19,283,98.26388888888889,5.8,1.92,5.8,1.88,True
2025-10-20,283,98.26388888888889,5.61,1.66,5.61,1.62,True
2025-10-21,283,98.26388888888889,5.67,1.63,5.67,1.57,True
2025-10-22,285,98.95833333333334,6.33,1.79,6.33,1.68,True
2025-10-23,283,98.26388888888889,7.15,1.78,7.15,1.75,True
2025-10-24,285,98.95833333333334,7.36,2.52,7.36,2.49,True
2025-10-25,280,97.22222222222221,5.07,1.4,5.07,1.33,True
2025-10-26,267,92.70833333333334,5.59,1.74,5.59,1.72,True
2025-10-30,151,52.43055555555556,6.96,2.18,6.96,1.59,False
2025-10-31,287,99.65277777777779,5.01,1.47,5.01,1.38,True
2025-11-10,284,98.61111111111111,5.72,1.65,5.72,1.59,True
2025-11-11,286,99.30555555555556,6.23,2.0,6.23,1.92,True
2025-11-12,281,97.56944444444444,5.73,1.91,5.73,1.86,True
2025-11-13,269,93.40277777777779,6.16,1.58,6.16,1.54,True
2025-11-14,282,97.91666666666666,5.14,1.44,5.14,1.4,True
2025-11-15,281,97.56944444444444,4.29,1.23,4.29,1.18,True
2025-11-16,282,97.91666666666666,7.06,2.2,7.06,2.16,True
2025-11-17,284,98.61111111111111,6.06,2.09,6.06,2.08,True
2025-11-18,252,87.5,7.42,2.01,7.42,1.91,True
2025-11-19,276,95.83333333333334,5.93,1.67,5.93,1.63,True
2025-11-20,268,93.05555555555556,5.31,1.59,5.31,1.47,True
2025-11-21,279,96.875,7.44,1.63,7.44,1.59,True
2025-11-22,283,98.26388888888889,6.77,2.33,6.77,2.29,True
2025-11-23,283,98.26388888888889,6.71,2.25,6.71,2.14,True
2025-11-24,279,96.875,5.02,1.61,5.02,1.52,True
2025-11-25,278,96.52777777777779,5.82,2.1,5.82,2.08,True
2025-11-26,283,98.26388888888889,5.64,2.03,5.64,1.96,True
2025-11-27,285,98.95833333333334,6.64,2.32,6.64,2.19,True
2025-11-28,283,98.26388888888889,5.4,1.94,5.4,1.88,True
2025-11-29,283,98.26388888888889,6.35,2.04,6.35,1.96,True
2025-11-30,284,98.61111111111111,7.22,2.34,7.22,2.26,True
2025-12-10,282,97.91666666666666,5.59,1.81,5.59,1.79,True
2025-12-11,284,98.61111111111111,7.05,2.06,7.05,1.96,True
2025-12-12,284,98.61111111111111,6.53,2.13,6.53,2.04,True
2025-12-13,284,98.61111111111111,5.76,2.06,5.76,1.99,True
2025-12-14,285,98.95833333333334,6.63,2.17,6.63,2.11,True
2025-12-15,282,97.91666666666666,6.33,2.19,6.33,2.16,True
2025-12-16,279,96.875,6.63,2.21,6.63,2.11,True
2025-12-17,281,97.56944444444444,6.48,2.07,6.48,2.0,True
2025-12-18,283,98.26388888888889,6.45,1.8,6.45,1.73,True
2025-12-19,280,97.22222222222221,6.17,2.28,6.17,2.24,True
2025-12-20,280,97.22222222222221,5.04,1.59,5.04,1.55,True
2025-12-21,221,76.73611111111111,4.69,1.1,4.69,0.92,False
2025-12-22,285,98.95833333333334,4.8,1.79,4.8,1.72,True
2025-12-23,282,97.91666666666666,6.81,2.12,6.81,2.09,True
2025-12-24,282,97.91666666666666,5.84,2.4,5.84,2.33,True
2025-12-25,282,97.91666666666666,5.78,2.28,5.78,2.21,True
2025-12-26,283,98.26388888888889,6.25,2.56,6.25,2.48,True
2025-12-27,281,97.56944444444444,6.33,2.16,6.33,2.13,True
2025-12-28,283,98.26388888888889,6.27,2.83,6.27,2.71,True
2025-12-29,282,97.91666666666666,6.27,1.83,6.27,1.81,True
2025-12-30,281,97.56944444444444,5.45,1.79,5.45,1.75,True
2025-12-31,283,98.26388888888889,5.34,1.55,5.34,1.51,True
2026-01-01,282,97.91666666666666,6.14,2.44,6.14,2.38,True
2026-01-13,261,90.625,4.59,1.44,4.59,1.41,True
2026-02-01,283,98.26388888888889,5.66,1.48,5.66,1.42,True
2026-03-01,281,97.56944444444444,6.51,1.88,6.51,1.79,True
2026-04-01,281,97.56944444444444,4.98,1.46,4.98,1.44,True
2026-05-01,281,97.56944444444444,6.28,1.78,6.28,1.7,True
2026-06-01,282,97.91666666666666,6.38,1.4,6.38,1.33,True
2026-07-01,280,97.22222222222221,6.46,1.67,6.46,1.64,True
2026-08-01,278,96.52777777777779,5.37,1.8,5.37,1.67,True
2026-09-01,283,98.26388888888889,6.09,1.81,6.09,1.73,True
2026-10-01,282,97.91666666666666,6.42,1.98,6.42,1.93,True
2026-11-01,281,97.56944444444444,6.19,1.9,6.19,1.82,True
2026-12-01,281,97.56944444444444,4.49,1.37,4.49,1.34,True
